File;Method Name;Average; Distance From Mean
rebound-android/src/main/java/com/facebook/rebound/ui/SpringConfiguratorView.java;SpringConfiguratorView.updateSeekBarsForSpringConfig( SpringConfig springConfig );9;-1.7451030057413028
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.BaseSpringSystem( SpringLooper springLooper );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.activateSpring( String springId );8;-2.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.addListener( SpringSystemListener newListener );4;-6.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.advance( double deltaTime );6;-4.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.deregisterSpring( Spring spring );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.getSpringById( String id );4;-6.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.registerSpring( Spring spring );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BaseSpringSystem.java;BaseSpringSystem.removeListener( SpringSystemListener listenerToRemove );4;-6.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.BouncyConversion( double speed , double bounciness );8;-2.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.b3_friction1( double x );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.b3_friction2( double x );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.b3_friction3( double x );2;-8.745103005741303
rebound-core/src/main/java/com/facebook/rebound/BouncyConversion.java;BouncyConversion.b3_nobounce( double tension );8;-2.745103005741303
