File;Method Name;Z-score
spring-core/src/main/java/org/springframework/asm/MethodWriter.java;MethodWriter.visitVarInsn( final int opcode , final int varIndex );-4.585542451368521
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.addConstant( final Object value );3.2765330794017613
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.copyBootstrapMethods( final ClassReader classReader , final char [ ] charBuffer );-3.8484728703588065
spring-core/src/main/java/org/springframework/asm/SymbolTable.java;SymbolTable.put( final Entry entry );-2.1286438480028074
spring-core/src/main/java/org/springframework/asm/Type.java;Type.getArgumentsAndReturnSizes( final String methodDescriptor );-2.865713429012521
spring-core/src/main/java/org/springframework/asm/Type.java;Type.getClassName( );2.7851533587286186
spring-core/src/main/java/org/springframework/asm/Type.java;Type.getTypeInternal( final String descriptorBuffer , final int descriptorBegin , final int descriptorEnd );2.539463498392047
spring-core/src/main/java/org/springframework/asm/TypePath.java;TypePath.fromString( final String typePath );-2.3743337083393783
spring-core/src/main/java/org/springframework/asm/TypeReference.java;TypeReference.putTarget( final int targetTypeAndInfo , final ByteVector output );3.522222939738332
spring-core/src/main/java/org/springframework/cglib/core/CodeEmitter.java;CodeEmitter.if_cmp( Type type , int mode , Label label );3.522222939738332
spring-core/src/main/java/org/springframework/cglib/core/CodeEmitter.java;CodeEmitter.unbox( Type type );2.2937736380554763
spring-core/src/main/java/org/springframework/cglib/util/SorterTemplate.java;SorterTemplate.merge( int lo , int pivot , int hi , int len1 , int len2 );-2.62002356867595
spring-core/src/main/java/org/springframework/cglib/util/SorterTemplate.java;SorterTemplate.quickSortHelper( int lo , int hi );-2.3743337083393783
spring-core/src/main/java/org/springframework/cglib/util/SorterTemplate.java;SorterTemplate.rotate( int lo , int mid , int hi );-2.1286438480028074
spring-core/src/main/java/org/springframework/core/io/support/LocalizedResourceHelper.java;"";-5.076922172041663
spring-core/src/main/java/org/springframework/core/type/filter/AbstractTypeHierarchyTraversingFilter.java;AbstractTypeHierarchyTraversingFilter.match( MetadataReader metadataReader , MetadataReaderFactory metadataReaderFactory );3.2765330794017613
spring-core/src/main/java/org/springframework/util/AntPathMatcher.java;PatternInfo.initCounters( );-3.111403289349093
spring-core/src/main/java/org/springframework/util/FastByteArrayOutputStream.java;FastByteArrayInputStream.read( byte [ ] b , int off , int len );-2.1286438480028074
spring-core/src/main/java/org/springframework/util/FastByteArrayOutputStream.java;FastByteArrayOutputStream.nextPowerOf2( int val );-2.865713429012521
spring-core/src/main/java/org/springframework/util/FastByteArrayOutputStream.java;FastByteArrayOutputStream.write( byte [ ] data , int offset , int length );-2.1286438480028074
spring-core/src/main/java/org/springframework/util/PropertyPlaceholderHelper.java;PropertyPlaceholderHelper.parseStringValue( String value , PlaceholderResolver placeholderResolver , @ Nullable Set < String > visitedPlaceholders );-2.1286438480028074
spring-core/src/main/java/org/springframework/util/StringUtils.java;StringUtils.uriDecode( String source , Charset charset );-2.1286438480028074
spring-core/src/main/java/org/springframework/util/xml/ListBasedXMLEventReader.java;ListBasedXMLEventReader.nextTag( );2.2937736380554763
spring-core/src/main/java/org/springframework/util/xml/StaxEventXMLReader.java;StaxEventXMLReader.parseInternal( );2.2937736380554763
spring-core/src/main/java/org/springframework/util/xml/StaxStreamXMLReader.java;StaxStreamXMLReader.parseInternal( );2.0480837777189045
spring-core/src/test/java/org/springframework/core/io/buffer/DataBufferTests.java;DataBufferTests.lastIndexOf( DataBufferFactory bufferFactory );-2.3743337083393783
spring-core/src/test/java/org/springframework/util/AntPathMatcherTests.java;AntPathMatcherTests.patternComparator( );-2.865713429012521
spring-core/src/test/java/org/springframework/util/DigestUtilsTests.java;DigestUtilsTests.md5( );-2.1286438480028074
spring-core/src/test/java/org/springframework/util/NumberUtilsTests.java;NumberUtilsTests.convertToInteger( );-5.322612032378234
spring-core/src/test/java/org/springframework/util/NumberUtilsTests.java;NumberUtilsTests.convertToLong( );-4.831232311705092
spring-core/src/test/java/org/springframework/util/StringUtilsTests.java;StringUtilsTests.countOccurrencesOf( );-2.865713429012521
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.areBoxingCompatible( String desc1 , String desc2 );2.7851533587286186
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.insertArrayStore( MethodVisitor mv , String arrayElementType );2.0480837777189045
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.insertUnboxInsns( MethodVisitor mv , char ch , @ Nullable String stackDescriptor );2.0480837777189045
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.insertUnboxNumberInsns( MethodVisitor mv , char targetDescriptor , @ Nullable String stackDescriptor );2.0480837777189045
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.toDescriptor( Class < ? > type );3.522222939738332
spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java;CodeFlow.toPrimitiveTargetDesc( String descriptor );2.0480837777189045
spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectionHelper.java;ReflectionHelper.convertArguments( TypeConverter converter , Object [ ] arguments , Executable executable , @ Nullable Integer varargsPosition );-2.865713429012521
spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectionHelper.java;ReflectionHelper.setupArgumentsForVarargsInvocation( Class < ? > [ ] requiredParameterTypes , Object ... args );-2.62002356867595
spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectiveConstructorResolver.java;ReflectiveConstructorResolver.resolve( EvaluationContext context , String typeName , List < TypeDescriptor > argumentTypes );2.0480837777189045
spring-expression/src/test/java/org/springframework/expression/spel/ComparatorTests.java;ComparatorTests.testNonPrimitiveNumbers( );-3.6027830100222356
spring-expression/src/test/java/org/springframework/expression/spel/ComparatorTests.java;ComparatorTests.testPrimitives( );-4.339852591031949
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingMathematicalExpressionsWithDifferentOperandTypes( );-5.813991753051377
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingMethodReference( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingNestedMixedFieldPropertyReferenceMethodReference( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingPropertyReferenceField( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingPropertyReferenceGetter( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingPropertyReferenceNestedField( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.compilingPropertyReferenceNestedMixedFieldGetter( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.complexExpressionPerformance( );-2.1286438480028074
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.inlineLists( );-2.865713429012521
spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationPerformanceTests.java;SpelCompilationPerformanceTests.inlineNestedLists( );-2.865713429012521
