File;Method Name;Mutant Density
ansible/cli/inventory;_remove_empty_keys;1
ansible/cli/inventory;_show_vars;1
ansible/cli/inventory;_graph_name;1
ansible/cli/inventory;__init__;3
ansible/cli/inventory;init_parser;3
ansible/cli/inventory;post_process_args;2
ansible/cli/inventory;run;3
ansible/cli/inventory;InventoryCLI.toml_inventory;1
ansible/cli/playbook;PlaybookCLI.run;39
ansible/cli/playbook;_flush_cache;1
ansible/cli/playbook;init_parser;3
ansible/cli/playbook;post_process_args;2
ansible/cli/playbook;run;3
ansible/cli/pull;PullCLI._get_inv_cli;9
ansible/cli/pull;PullCLI.init_parser;1
ansible/cli/pull;PullCLI.post_process_args;14
ansible/cli/pull;PullCLI.run;102
ansible/cli/pull;PullCLI.select_playbook;18
ansible/cli/pull;PullCLI.try_playbook;4
ansible/cli/pull;_get_inv_cli;1
ansible/cli/pull;try_playbook;1
ansible/cli/pull;select_playbook;1
ansible/cli/pull;init_parser;3
ansible/cli/pull;post_process_args;2
ansible/cli/pull;run;3
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.start;8
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.run;19
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.connect_timeout;1
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.command_timeout;1
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.handler;1
ansible/cli/scripts/ansible_connection_cli_stub;ConnectionProcess.shutdown;8
ansible/cli/scripts/ansible_connection_cli_stub;file_lock;1
ansible/cli/vault;VaultCLI.execute_encrypt_string;28
ansible/cli/vault;VaultCLI.init_parser;1
ansible/cli/vault;VaultCLI.post_process_args;16
ansible/cli/vault;VaultCLI.run;26
ansible/cli/vault;VaultCLI.format_ciphertext_yaml;8
ansible/cli/vault;VaultCLI._format_output_vault_strings;8
ansible/cli/vault;VaultCLI.execute_encrypt;5
ansible/cli/vault;VaultCLI.execute_decrypt;5
ansible/cli/vault;VaultCLI.execute_create;2
ansible/cli/vault;format_ciphertext_yaml;1
ansible/cli/vault;__init__;3
ansible/cli/vault;init_parser;3
ansible/cli/vault;post_process_args;2
ansible/cli/vault;run;3
ansible/collections/list;list_collections;1
ansible/collections/list;list_collection_dirs;1
ansible/config/manager;ConfigManager.__init__;4
ansible/config/manager;ConfigManager._read_config_yaml_file;3
ansible/config/manager;ConfigManager._parse_config_file;9
ansible/config/manager;ConfigManager.get_config_value;3
ansible/config/manager;ConfigManager.get_config_value_and_origin;84
ansible/config/manager;ConfigManager._loop_entries;7
ansible/config/manager;ConfigManager.initialize_plugin_configuration_definitions;2
ansible/config/manager;ConfigManager.get_plugin_vars;3
ansible/config/manager;ConfigManager.get_plugin_options_from_var;5
ansible/config/manager;ConfigManager.get_configuration_definition;2
ansible/config/manager;ConfigManager.has_configuration_definition;3
ansible/config/manager;ConfigManager.get_configuration_definitions;4
ansible/constants;__init__;2
ansible/constants;__len__;2
ansible/constants;__getitem__;2
ansible/executor/interpreter_discovery;__init__;3
ansible/executor/interpreter_discovery;__str__;2
ansible/executor/interpreter_discovery;__repr__;2
ansible/executor/module_common;ModuleDepFinder.visit_ImportFrom;26
ansible/executor/module_common;ModuleUtilLocatorBase.__init__;7
ansible/executor/module_common;LegacyModuleUtilLocator._find_module;8
ansible/executor/module_common;ModuleUtilLocatorBase._locate;13
ansible/executor/module_common;CollectionModuleUtilLocator._find_module;11
ansible/executor/module_common;ModuleUtilLocatorBase._handle_redirect;21
ansible/executor/module_common;ModuleDepFinder.generic_visit;3
ansible/executor/module_common;ModuleDepFinder.visit_Import;4
ansible/executor/module_common;LegacyModuleUtilLocator.__init__;6
ansible/executor/module_common;CollectionModuleUtilLocator.__init__;11
ansible/executor/module_common;candidate_names_joined;1
ansible/executor/module_common;__init__;9
ansible/executor/module_common;generic_visit;2
ansible/executor/module_common;_get_module_utils_remainder_parts;4
ansible/executor/module_common;_find_module;4
ansible/executor/module_common;LegacyModuleUtilLocator._get_module_utils_remainder_parts;1
ansible/executor/module_common;CollectionModuleUtilLocator._get_module_utils_remainder_parts;1
ansible/executor/play_iterator;HostState.__repr__;1
ansible/executor/play_iterator;HostState.__str__;1
ansible/executor/play_iterator;PlayIterator.get_next_task_for_host;9
ansible/executor/play_iterator;PlayIterator.mark_host_failed;2
ansible/executor/play_iterator;PlayIterator._insert_tasks_into_state;31
ansible/executor/play_iterator;PlayIterator.set_state_for_host;3
ansible/executor/play_iterator;PlayIterator.set_run_state_for_host;3
ansible/executor/play_iterator;PlayIterator.set_fail_state_for_host;3
ansible/executor/play_iterator;PlayIterator._get_next_task_from_state;91
ansible/executor/play_iterator;PlayIterator.__init__;20
ansible/executor/play_iterator;HostState.__eq__;4
ansible/executor/play_iterator;PlayIterator.get_host_state;2
ansible/executor/play_iterator;PlayIterator._check_failed_state;37
ansible/executor/play_iterator;HostState.copy;3
ansible/executor/play_iterator;PlayIterator._set_failed_state;23
ansible/executor/play_iterator;PlayIterator._clear_state_errors;3
ansible/executor/play_iterator;PlayIterator.get_active_state;9
ansible/executor/play_iterator;PlayIterator.is_any_block_rescuing;6
ansible/executor/play_iterator;host_states;1
ansible/executor/playbook_executor;PlaybookExecutor._get_serialized_batches;20
ansible/executor/playbook_executor;PlaybookExecutor.run;55
ansible/executor/playbook_executor;PlaybookExecutor._generate_retry_inventory;4
ansible/executor/playbook_executor;PlaybookExecutor.__init__;2
ansible/executor/powershell/module_manifest;PSModuleDepFinder._add_module;34
ansible/executor/powershell/module_manifest;PSModuleDepFinder.scan_exec_script;6
ansible/executor/powershell/module_manifest;PSModuleDepFinder._parse_version_match;6
ansible/executor/powershell/module_manifest;PSModuleDepFinder.scan_module;14
ansible/executor/process/worker;WorkerProcess._hard_exit;2
ansible/executor/process/worker;WorkerProcess._run;15
ansible/executor/process/worker;WorkerProcess._save_stdin;5
ansible/executor/process/worker;WorkerProcess.run;2
ansible/executor/process/worker;__init__;3
ansible/executor/process/worker;start;2
ansible/executor/process/worker;run;2
ansible/executor/stats;AggregateStats.increment;1
ansible/executor/stats;AggregateStats.decrement;7
ansible/executor/stats;AggregateStats.update_custom_stats;9
ansible/executor/stats;AggregateStats.set_custom_stats;3
ansible/executor/task_executor;TaskExecutor.run;48
ansible/executor/task_executor;TaskExecutor._get_loop_items;20
